"USAF","WBAN","NAME","CTRY","FIPS","STATE","CALL","LAT","LON","ELEV","BEGIN","END","XPS","YPS"
"042020",NA,"PITUFFIK (THULE AB)","GL","GL","","BGTL",76.533,-68.75,59,1951-11-01,2012-12-12,-590168,-1341258
"042030",NA,"KITSISSUT /CAREY OE","GL","GL","","",76.633,-73,11,1973-07-01,2012-12-12,-682790,-1284141
"042050",NA,"MITTARFIK QAANAAQ","GL","GL","","",77.483,-69.383,16,1973-01-02,2012-12-12,-561934,-1239755
"042080",NA,"KITSISSORSUIT /EDDE","GL","GL","","",74.033,-57.817,40,1982-01-04,2012-12-12,-386115,-1697160
"042140",NA,"NUUSSUAATAA /NUUSSU","GL","GL","","",70.683,-54.617,27,1982-10-01,2012-12-12,-352809,-2082173
"042200",NA,"AASIAAT /EGEDESMIND","GL","GL","","BGEM",68.7,-52.85,41,1943-01-09,2012-12-12,-318681,-2311428
"042280",NA,"KITSISSUT (ATTU)","GL","GL","","",67.783,-53.967,12,1983-08-12,2012-12-12,-379713,-2406383
"042310",NA,"KANGERLUSSUAQ /SDR.","GL","GL","","BGSF",67.017,-50.7,53,1941-12-01,2012-12-12,-250516,-2509849
"042420",NA,"SIORALIK","GL","GL","","",65.016,-52.55,14,1983-07-01,2012-12-12,-361128,-2724663
"042500",NA,"NUUK (GODTHAAB)","GL","GL","","BGGH",64.167,-51.75,84,1949-01-01,2012-12-12,-334389,-2825235
"042530",NA,"UKIIVIK /FREDERIKSH","GL","GL","","",62.567,-50.417,22,1982-11-01,2012-12-12,-285818,-3014096
"042600",NA,"PAAMIUT /FREDERIKSH","GL","GL","","BGFH",62.017,-49.667,15,1949-01-01,2012-12-12,-251472,-3080435
"042660",NA,"NUNARSUIT","GL","GL","","",60.75,-48.45,30,1982-01-04,2012-12-12,-194766,-3230655
"042700",NA,"MITTARFIC NARSARSUAQ","GL","GL","","BGBW",61.167,-45.417,31,1941-07-22,2012-12-12,-23205,-3188349
"042720",NA,"QAQORTOQ /JULIANEHA","GL","GL","","BGJH",60.717,-46.05,34,1936-05-01,2012-12-12,-59379,-3239786
"042850",NA,"ANGISOQ","GL","GL","","BGAS",59.983,-45.2,16,1981-12-02,2012-12-12,-11607,-3325179
"043010",NA,"KAP MORRIS JESUP","GL","GL","","",83.65,-33.367,4,1981-10-29,2012-12-12,138845,-674426
"043130",NA,"HENRIK KROEYER HOLM","GL","GL","","",80.65,-13.717,10,1984-09-01,2012-12-12,527078,-867470
"043200",NA,"DANMARKSHAVN","GL","GL","","BGDH",76.767,-18.667,12,1949-01-01,2012-12-12,638622,-1290281
"043300",NA,"DANEBORG","GL","GL","","BGDB",74.3,-20.217,44,1945-09-01,2012-12-12,717250,-1553481
"043390",NA,"ITTOQQORTOORMIIT /S","GL","GL","","BGSC",70.483,-21.95,69,1936-05-01,2012-12-12,835584,-1963745
"043600",NA,"TASIILAQ /AMMASSALI","GL","GL","","BGAM",65.6,-37.633,52,1936-05-01,2012-12-12,343938,-2660172
"043610",NA,"KULUSUK","GL","GL","","BGKK",65.567,-37.133,37,1943-10-05,2012-12-12,367650,-2660770
"043820",NA,"IKERMIUARSUK","GL","GL","","",61.933,-42.067,39,1943-11-01,2012-12-12,158638,-3096266
"043900",NA,"PRINS CHRISTIAN SUN","GL","GL","","BGPC",60.05,-43.167,75,1943-01-01,2012-12-12,106113,-3315743
